epoch,lr,train_loss,train_acc,train_grad_norm,val_loss,val_acc,prune_step,pruned_now,mask_sparsity,epoch_time_sec,elapsed_time_sec,time_to_acc_sec,time_to_acc_epoch,epoch_peak_rss_mb,epoch_end_rss_mb,sys_used_mb,sys_avail_mb,total_params,nnz_params,nnz_ratio
1,0.0009938441702975688,1.888527108807034,0.31344444444444447,2.190008641620611,1.7825359832763672,0.3652,1,0.2056714349910126,0.2056714349910126,10.22466762503609,10.224671750096604,,,684.375,684.375,5115.78125,8228.796875,855050,679298,0.7944541254897375
2,0.0009755282581475768,1.742729352845086,0.3708666666666667,2.060271404311607,1.6988112045288086,0.389,2,0.20567167961153607,0.36904232511983226,9.583126167068258,19.8126257089898,,,738.453125,738.453125,5772.171875,7626.6875,855050,539693,0.6311829717560377
3,0.0009455032620941839,1.6745652782228257,0.3957777777777778,2.013965157766348,1.640362697982788,0.42,3,0.2056712990869316,0.49881220978130614,9.611023040954024,29.428053375100717,,,754.984375,754.984375,6106.0625,7478.828125,855050,428801,0.5014923103912052
4,0.0009045084971874737,1.6317717006259493,0.4125333333333333,1.8921866292811658,1.599978673553467,0.421,4,0.2056696686038774,0.6018913365038945,9.494983125012368,38.92733679199591,,,756.03125,756.03125,6074.75,7675.296875,855050,340717,0.3984761125080405
5,0.0008535533905932737,1.5912759202957154,0.42804444444444445,1.8092628720201396,1.5689673313140868,0.4384,5,0.20567027734093682,0.6837704557369683,9.46782304206863,48.39934645895846,,,757.078125,757.078125,6196.734375,7559.796875,855050,270749,0.31664697970878897
6,0.0007938926261462366,1.5688200419955785,0.4368444444444444,1.6547848411266173,1.5337428031921387,0.4474,6,0.20567152801163466,0.7488098693079688,9.505749959032983,57.90948341717012,,,758.109375,758.109375,6093.53125,7662.453125,855050,215171,0.2516472720893515
7,0.0007269952498697733,1.5419269004821778,0.4437111111111111,1.5181996479342172,1.5093391452789306,0.4638,7,0.2056706530195808,0.8004723075194727,9.465446083107963,67.37906158412807,,,759.140625,759.140625,6187.828125,7570.46875,855050,171024,0.20001637331150224
8,0.0006545084971874737,1.5279846218321058,0.4498666666666667,1.368876473632926,1.4859834693908691,0.4734,8,0.20566914171094766,0.8415089967795086,9.469985166098922,76.85359945916571,,,760.21875,760.21875,6042.96875,7717.96875,855050,135957,0.15900473656511316
9,0.0005782172325201155,1.5225177606794569,0.4527555555555556,1.2296894031115728,1.4736503875732423,0.4754,9,0.20567061690109648,0.8741059391851408,9.445977790979668,86.30418820912018,,,761.265625,761.265625,6045.609375,7715.75,855050,108102,0.1264276942868838
10,0.0005,1.5152079776551988,0.4545111111111111,1.1038015845947042,1.4537053226470946,0.4724,10,0.20567019892173266,0.8999985957159976,9.415330917108804,95.7238277089782,,,765.328125,765.328125,6068.421875,7703.234375,855050,85976,0.10055084497982573
11,0.0004217827674798847,1.5144357712427776,0.45464444444444446,0.9918202088810084,1.451349291229248,0.4826,11,0.0,0.8999985957159976,9.34863887517713,105.07361816707999,,,766.328125,766.328125,6034.359375,7738.40625,855050,85976,0.10055084497982573
12,0.00034549150281252633,1.4899009364657931,0.46413333333333334,0.9879936875372319,1.4405944557189942,0.487,12,0.0,0.8999985957159976,9.387188874883577,114.46546054212376,,,767.328125,767.328125,6037.234375,7737.078125,855050,85976,0.10055084497982573
13,0.00027300475013022663,1.4753876879374186,0.46913333333333335,0.9831976693732094,1.4393966342926026,0.4856,13,0.0,0.8999985957159976,9.328523167176172,123.79870312497951,,,771.28125,771.28125,6040.703125,7734.125,855050,85976,0.10055084497982573
14,0.00020610737385376348,1.475619181505839,0.4687777777777778,0.969471968168612,1.440981826019287,0.484,14,0.0,0.8999985957159976,9.376344416989014,133.17647691699676,,,772.25,772.25,6072.734375,7703.65625,855050,85976,0.10055084497982573
15,0.00014644660940672625,1.4716000568177965,0.4673333333333333,0.9740440011920971,1.4296850040435791,0.4886,15,0.0,0.8999985957159976,9.362450584070757,142.54039716697298,,,773.203125,773.203125,6080.421875,7702.25,855050,85976,0.10055084497982573
16,9.549150281252631e-05,1.4640542881435819,0.47413333333333335,0.9552980613008494,1.4287025772094726,0.4856,16,0.0,0.8999985957159976,9.32564412499778,151.87062499998137,,,774.21875,774.21875,6092.25,7693.59375,855050,85976,0.10055084497982573
17,5.4496737905816096e-05,1.4599790621439617,0.4729777777777778,0.9618969031420488,1.4190898498535156,0.4898,17,0.0,0.8999985957159976,9.383022875059396,161.25514420913532,,,775.125,775.125,6062.109375,7790.4375,855050,85976,0.10055084497982573
18,2.447174185242323e-05,1.4636139603508844,0.4738222222222222,0.959059984013133,1.4259137519836427,0.4818,18,0.0,0.8999985957159976,10.705511749954894,171.9653465419542,,,779.5,779.5,7105.65625,6807.734375,855050,85976,0.10055084497982573
19,6.15582970243117e-06,1.457010941145155,0.47675555555555554,0.9577070026193635,1.4341593460083009,0.4996,19,0.0,0.8999985957159976,9.432057916885242,181.39862329210155,,,780.484375,780.484375,7020.796875,6895.328125,855050,85976,0.10055084497982573
20,0.0,1.4570481857087878,0.47633333333333333,0.9601347696331085,1.4187240589141845,0.4942,20,0.0,0.8999985957159976,9.263814500067383,190.66724866698496,,,781.4375,781.4375,7052.03125,6867.265625,855050,85976,0.10055084497982573
